loc_rowid,pl_pnum,hip_name
1165,1,
1166,3,
1167,3,
1168,3,
1169,2,
1170,2,
1171,2,
1172,2,
1173,1,
1174,1,
1175,2,
1176,2,
1177,1,
1178,1,
1179,1,
1180,2,
1181,2,
1182,1,
1183,1,
1184,1,
1185,1,
1186,1,
1187,1,
1188,1,
1189,2,
1190,2,
1191,1,
1192,1,
1193,1,
1194,1,
1195,1,
1196,1,
1197,1,
1198,1,
1199,1,
1200,2,
1201,2,
1202,1,
1203,4,
1204,4,
1205,4,
1206,4,
1207,2,
1208,2,
1209,1,
1210,1,
1211,2,
1212,2,
1213,1,
1214,1,
1215,1,
1216,1,
1217,2,
1218,2,
1219,1,
1220,1,
1221,1,
1222,1,
1223,1,
1224,1,
1225,1,
1226,2,
1227,1,
1228,1,
1229,4,
1230,4,
1231,4,
1232,4,
1233,1,
1234,1,
1235,1,
1236,1,
1237,1,
1238,2,
1239,2,
1240,1,
1241,1,
1242,1,
1243,1,
1244,3,
1245,3,
1246,3,
1247,1,
1248,1,
1249,1,
1250,4,
1251,4,
1252,4,
1253,4,
1254,1,
1255,1,
1256,2,
1257,2,
1258,2,
1259,2,
1260,3,
1261,3,
1262,3,
1263,2,
1264,2,
1265,1,
1266,1,
1267,1,
1268,2,
1269,2,
1270,1,
1271,1,
1272,1,
1273,1,
1274,1,
1275,1,
1276,2,
1277,2,
1278,2,
1279,1,
1280,1,
1281,1,
1282,1,
1283,1,
1284,3,
1285,3,
1286,3,
1287,2,
1288,2,
1289,1,
1290,1,
1291,1,
1292,2,
1293,2,
1294,2,
1295,2,
1296,1,
1297,1,HIP 109656
1298,1,
1299,1,
1300,1,
1301,1,
1302,1,
1303,1,
1304,4,
1305,4,
1306,4,
1307,4,
1308,1,
1309,1,
1310,2,
1311,2,
1312,1,
1313,1,
1314,2,
1315,2,
1316,3,
1317,3,
1318,3,
1319,1,
1320,2,
1321,2,
1322,2,
1323,2,
1324,1,
1325,1,
1326,1,
1327,1,
1328,1,
1329,1,
1330,2,
1331,2,
1332,1,
1333,1,
1334,1,
1335,1,
1336,1,
1337,1,
1338,1,
1339,1,HIP 52733
1340,1,
1341,1,
1342,1,
1343,1,
1344,1,
1345,1,
1346,1,
1347,1,HIP 29301
1348,1,HIP 96618
1349,1,
1350,1,
1351,1,HIP 52796
1352,1,
1353,1,HIP 51260 A
1354,2,
1355,2,
1356,1,HIP 24323
1357,1,
1358,1,HIP 101252
1359,3,
1360,3,
1361,3,
1362,1,
1363,1,
1364,1,
1365,2,
1366,1,
1367,1,
1368,2,
1369,2,
1370,2,
1371,1,
1372,1,
1373,1,
1374,1,
1375,1,
1376,1,
1377,1,
1378,1,
1379,1,
1380,1,
1381,2,
1382,1,
1383,1,
1384,2,
1385,2,
1386,2,
1387,2,
1388,1,
1389,8,
1390,8,
1391,8,
1392,8,
1393,8,
1394,8,
1395,8,
1396,1,
1397,2,
1398,2,
1399,4,
1400,4,
1401,4,
1402,4,
1403,1,
1404,1,HIP 24186
